,tt_cawang.csv,tt_gatsu.csv,tt_grogol.csv,tt_kelapagading.csv,tt_kuningan.csv,tt_sudirman.csv,tt_thamrin.csv,tt_bekasi.csv,tt_bogor.csv,tt_bsd.csv,tt_depok.csv,tt_kebonjeruk.csv,tt_tangerang.csv,tt_tbsimatupang.csv,tt_daanmogot.csv,tt_kalimalang.csv,tt_lingkardalam.csv,tt_majapahit.csv,tt_merdekabar.csv,tt_mtharyono.csv,tt_rayabogor.csv,tt_sparman.csv,tt_sudirman_s.csv,tt_sultanagung.csv,tt_cakungcilincing.csv,tt_cibinong.csv,tt_cibitung.csv,tt_cijantung.csv,tt_cilodong.csv,tt_cimanggis.csv,tt_cipondoh.csv,tt_fatmawati.csv,tt_gadingserpong.csv,tt_gajahmada.csv,tt_gunungsahari.csv,tt_hayamwuruk.csv,tt_jatinegara.csv,tt_jorr_west.csv,tt_kapukmuara.csv,tt_karawaci.csv,tt_kedoya.csv,tt_kemang.csv,tt_kramatraya.csv,tt_lebakbulus.csv,tt_lentengagung.csv,tt_mampang.csv,tt_manggadua.csv,tt_martadinata.csv,tt_matraman.csv,tt_merak_toll_e.csv,tt_otista.csv,tt_pemuda.csv,tt_perintis.csv,tt_pluit.csv,tt_pondokindah.csv,tt_pospengumben.csv,tt_pramuka.csv,tt_purikembangan.csv,tt_ragunan.csv,tt_rayabekasi_cakung.csv,tt_salemba.csv,tt_supomo.csv,tt_tambun.csv,tt_tendean.csv
tt_depok.csv,0.011819441,0.018329462,0.0052119493,0.014258448,0.007996432,0.009550559,0.007385818,0.0038574245,0.00754089,0.038085658,0.16417,0.010954301,0.0060141934,0.018376777,0.014479046,0.0016747207,0.009357047,0.005750888,0.009801943,0.0,0.013602066,0.0,0.008767362,0.007332773,0.0034376308,0.014653711,0.008442647,0.018978857,0.0057236203,0.0017649963,0.005913614,0.033475716,0.0006431987,0.011586138,0.0070944363,0.0068087555,0.012626533,0.0134906545,0.009099052,0.03535898,0.00456257,0.0034635887,0.0074830023,0.0060728877,5.4549204e-05,0.0074196667,0.010462725,0.007218253,0.0026847194,0.0044991705,0.008024695,5.149538e-05,0.011139644,0.0059533915,0.0011292624,0.00903956,0.0009373362,0.027515586,0.00035989485,0.009242404,0.022863757,0.01281399,0.030968301,0.013501434
tt_kebonjeruk.csv,0.022954356,0.010544879,0.01142022,0.022052772,0.005120471,0.018672332,0.031974375,0.0,0.008188824,0.0,0.010954301,0.085585356,0.0068827793,0.041825876,0.014760032,0.0,0.010836165,0.015746314,0.0,1.5318883e-05,0.0,0.0,0.0,0.0,0.015349797,0.014739125,0.0,0.0,0.008271493,0.0,0.016506122,0.005912518,0.0058600022,0.01100883,0.0089470735,0.02854698,0.005941417,0.028117953,0.005661752,0.0,0.024397748,0.028436754,0.0027582417,0.031481847,0.0,0.008294905,0.0029079244,0.0,0.029878592,0.0,0.0007725147,0.0,0.008097977,6.462548e-05,0.0,0.0039759562,0.025560906,0.008478031,0.032744214,0.0048181727,0.0076382696,0.0027638343,0.003095368,0.024345031
tt_tangerang.csv,0.00073271757,0.0058988053,0.0072746663,0.02080286,0.0172741,0.009425231,0.02903258,0.024885181,0.011775091,0.0076471153,0.0060141934,0.0068827807,0.07550821,0.0,0.02550315,0.0,0.0075772502,0.012261442,0.009357985,1.909246e-05,0.013238308,0.003290059,0.012514167,0.009195276,0.011851307,0.010704588,0.0,0.016518911,0.01648459,0.003885697,0.008468618,0.014152574,0.010033518,0.019883944,0.022426749,0.010959529,0.02207,0.0044887774,0.007050356,0.005830069,0.0071049165,0.010699591,0.008106025,0.013037982,5.922576e-05,0.00824606,0.0076315165,0.002061585,0.010950869,0.00783279,0.010021179,0.0005131411,0.0072352067,0.0059267646,0.025149869,0.0045144153,0.00255399,0.0061737224,0.0012383058,0.0025268362,0.017149864,0.004949979,0.028811868,0.0
tt_tbsimatupang.csv,0.03632479,0.0052360976,0.024566649,0.025220644,0.00073017686,0.031538345,0.03881016,0.017148824,0.01193723,8.395754e-05,0.018376777,0.041825876,0.0,0.21895647,0.008022524,0.0,0.004502817,0.02178146,0.003142042,0.006200658,0.009540815,0.002454351,0.0102522075,0.00028619004,0.031558838,0.0009618749,0.0010225239,0.00659709,0.008530252,0.0021939825,0.031977557,0.00317238,0.006922695,0.0038892305,0.012913886,0.023656774,0.00014884619,0.030183444,0.015859922,8.0798825e-05,0.025244098,0.034816563,0.003959779,0.054610256,0.0062387274,0.015938139,0.005448241,1.5766519e-06,0.021967331,0.0016197299,0.0,0.0014414177,0.016306393,0.0068695513,0.013040636,0.000828131,0.018917255,0.0008142727,0.017763609,0.0052048303,0.0034580224,0.00040348998,0.00015206468,0.044314884
tt_daanmogot.csv,0.0,0.02053692,0.002035923,0.022490758,0.012807321,0.019972594,0.02417126,0.020721633,0.022007683,0.0,0.014479048,0.014760032,0.02550315,0.008022524,0.115308486,0.0,0.024024064,0.0050906404,0.006680644,0.0,0.017324561,0.0,0.013437693,0.00420293,0.000477618,0.019970223,0.008560247,0.00084821146,0.0048148525,0.0,0.013011616,0.019075831,0.00041141367,0.021732634,0.022214066,0.027220186,0.023779579,0.00845595,0.00091002387,0.0,0.00254511,0.00857108,0.007372192,5.720778e-05,0.000108135486,0.01930075,0.030548422,0.0040921667,0.0040321867,0.008054745,0.012737501,0.0,0.0075618736,0.0,0.0,0.006257035,0.0,0.00018931061,0.0,0.0016122948,0.013187019,0.00079378707,0.0,0.005096824
tt_kalimalang.csv,0.0,0.0025650328,0.0,8.2152765e-05,0.005792409,0.0,0.001422447,0.022238532,0.00612265,0.010587474,0.0016747207,0.0,0.0,0.0,0.0,0.055703316,0.0,0.002413499,0.010327755,0.018206896,0.008559103,0.011681284,0.015053083,0.01378671,0.0,0.0053189974,0.0067181615,0.0066994205,0.0,0.013897787,0.0,0.0068797707,0.0031639454,0.009060373,0.0024357839,0.0,0.0,0.0,0.0,0.009616777,0.0,0.0,0.0008058388,0.0,0.018771596,0.0,0.000141995,0.008737869,0.0013560809,0.01229044,0.008187399,0.019871438,0.0038251607,0.022244697,0.009101574,0.009720455,1.3463345e-05,0.0024185134,0.002665753,0.009278563,0.0004682639,0.006144325,0.0129419835,0.0
tt_lingkardalam.csv,0.018724818,0.023690488,0.020841561,0.02319426,0.008584512,0.022354458,0.021461923,0.02380357,0.02718004,0.00194071,0.009357047,0.010836165,0.0075772502,0.004502817,0.024024064,0.0,0.12765409,0.017802043,0.010881011,0.00400964,0.00481188,0.0,0.0,0.007256808,0.0019084028,0.013416596,0.01626241,0.0011446993,0.011663997,0.005618064,0.007246304,0.01151033,0.0017142482,0.02384651,0.017391639,0.02114187,0.019899644,0.009818801,0.013535417,0.0022533056,0.013230672,0.0,0.016093237,0.0,0.0,0.013136798,0.024654757,0.0069958633,0.017948464,0.02104931,0.015842,0.0,0.0035919775,0.0018790349,0.0091963075,0.017649546,0.01453361,0.028586332,0.028711388,0.007191915,0.017674917,0.017339101,0.008294413,0.010757196
tt_majapahit.csv,0.011746279,0.002452482,0.012040762,0.013192326,0.0071241986,0.03121003,0.022595981,0.018633984,0.013172169,0.0021248707,0.005750888,0.015746314,0.012261442,0.021781456,0.0050906404,0.002413499,0.017802043,0.07910735,0.007566316,2.2058859e-05,0.013786861,0.005741225,0.021456553,0.0068740146,0.013415191,0.012083875,0.003597719,0.0043891133,0.014604225,0.001139855,0.011331881,0.0066248644,0.01757233,0.01740299,0.00038685842,0.012463107,0.0064112446,0.011811019,0.007867778,0.0015255989,0.012252556,0.013322626,0.0,0.010824188,1.4475836e-05,0.013319636,0.009717512,0.0024982204,0.014818815,0.004821376,0.00794012,0.0,0.012702185,3.7119346e-05,0.011754281,0.0153990425,0.0051968144,0.006572429,0.009160655,0.0019260435,0.011154402,0.0032847896,0.00032069485,0.031687517
tt_merdekabar.csv,0.0018251843,0.00509363,0.0017913174,0.011199225,0.011613534,0.0,0.016049,0.017448792,0.004674485,0.011949979,0.009801944,0.0,0.009357985,0.003142042,0.006680644,0.010327754,0.010881011,0.007566316,0.042430878,0.015695805,0.01589142,0.016265554,0.007842173,0.009655194,0.0,0.010221266,0.023869084,0.009810254,0.006885691,0.014433312,2.315533e-05,0.0029535058,0.011321115,0.0019268412,0.0076155565,0.00011841636,0.0061186883,0.0,0.0,0.011343605,0.0030270508,0.00016523984,0.010822681,0.0,0.015268625,0.0,0.00958013,0.012543639,0.0051151854,0.0119432695,0.012434729,0.014237134,0.010835544,0.011941542,0.015612129,0.019851597,0.0026061176,0.020958781,0.0,0.010348747,0.005898128,0.010544123,0.016185367,0.0035630963
tt_mtharyono.csv,0.0,0.0011885149,0.0,0.0,0.013006465,0.0,0.002911069,0.020581037,0.002113964,0.009206265,0.0,1.5318883e-05,1.909246e-05,0.006200658,0.0,0.018206896,0.00400964,2.2058859e-05,0.015695805,0.06164144,0.022180201,0.020438995,0.01963937,0.0137657495,0.0,0.002650406,0.01658659,0.013999348,0.0053295316,0.014760361,0.0,0.0,0.0,0.018931633,0.004912431,0.0,0.0005439992,0.0,0.0,0.0092508625,0.0,0.0,0.00019917886,0.0,0.025277916,0.000683772,0.0,0.001221146,0.0,0.009936932,0.011564829,0.015922388,0.006952411,0.021730442,0.012215176,0.0020091992,0.0005816756,0.0023866668,0.0,0.0020408744,6.469077e-05,0.022831699,0.022249816,0.0
