edge_type,node_i,corridor_i,node_j,corridor_j
adaptive_only,16,tt_lingkardalam.csv,34,tt_gunungsahari.csv
adaptive_only,16,tt_lingkardalam.csv,36,tt_jatinegara.csv
adaptive_only,16,tt_lingkardalam.csv,46,tt_manggadua.csv
adaptive_only,16,tt_lingkardalam.csv,60,tt_salemba.csv
adaptive_only,17,tt_majapahit.csv,32,tt_gadingserpong.csv
adaptive_only,17,tt_majapahit.csv,63,tt_tendean.csv
adaptive_only,18,tt_merdekabar.csv,20,tt_rayabogor.csv
adaptive_only,18,tt_merdekabar.csv,23,tt_sultanagung.csv
adaptive_only,18,tt_merdekabar.csv,26,tt_cibitung.csv
adaptive_only,18,tt_merdekabar.csv,29,tt_cimanggis.csv
adaptive_only,18,tt_merdekabar.csv,59,tt_rayabekasi_cakung.csv
adaptive_only,19,tt_mtharyono.csv,22,tt_sudirman_s.csv
adaptive_only,19,tt_mtharyono.csv,26,tt_cibitung.csv
adaptive_only,19,tt_mtharyono.csv,27,tt_cijantung.csv
adaptive_only,19,tt_mtharyono.csv,44,tt_lentengagung.csv
adaptive_only,19,tt_mtharyono.csv,53,tt_pluit.csv
adaptive_only,20,tt_rayabogor.csv,22,tt_sudirman_s.csv
adaptive_only,20,tt_rayabogor.csv,23,tt_sultanagung.csv
adaptive_only,20,tt_rayabogor.csv,47,tt_martadinata.csv
adaptive_only,20,tt_rayabogor.csv,54,tt_pondokindah.csv
adaptive_only,21,tt_sparman.csv,23,tt_sultanagung.csv
adaptive_only,21,tt_sparman.csv,29,tt_cimanggis.csv
adaptive_only,21,tt_sparman.csv,32,tt_gadingserpong.csv
adaptive_only,21,tt_sparman.csv,39,tt_karawaci.csv
adaptive_only,21,tt_sparman.csv,44,tt_lentengagung.csv
adaptive_only,21,tt_sparman.csv,49,tt_merak_toll_e.csv
adaptive_only,21,tt_sparman.csv,53,tt_pluit.csv
adaptive_only,22,tt_sudirman_s.csv,32,tt_gadingserpong.csv
adaptive_only,22,tt_sudirman_s.csv,33,tt_gajahmada.csv
adaptive_only,22,tt_sudirman_s.csv,53,tt_pluit.csv
adaptive_only,22,tt_sudirman_s.csv,61,tt_supomo.csv
adaptive_only,24,tt_cakungcilincing.csv,38,tt_kapukmuara.csv
adaptive_only,24,tt_cakungcilincing.csv,40,tt_kedoya.csv
adaptive_only,24,tt_cakungcilincing.csv,41,tt_kemang.csv
adaptive_only,24,tt_cakungcilincing.csv,43,tt_lebakbulus.csv
adaptive_only,24,tt_cakungcilincing.csv,58,tt_ragunan.csv
adaptive_only,26,tt_cibitung.csv,50,tt_otista.csv
adaptive_only,26,tt_cibitung.csv,52,tt_perintis.csv
adaptive_only,26,tt_cibitung.csv,55,tt_pospengumben.csv
adaptive_only,26,tt_cibitung.csv,57,tt_purikembangan.csv
adaptive_only,26,tt_cibitung.csv,61,tt_supomo.csv
adaptive_only,27,tt_cijantung.csv,39,tt_karawaci.csv
adaptive_only,27,tt_cijantung.csv,52,tt_perintis.csv
adaptive_only,27,tt_cijantung.csv,62,tt_tambun.csv
adaptive_only,28,tt_cilodong.csv,42,tt_kramatraya.csv
adaptive_only,28,tt_cilodong.csv,55,tt_pospengumben.csv
adaptive_only,28,tt_cilodong.csv,57,tt_purikembangan.csv
adaptive_only,29,tt_cimanggis.csv,39,tt_karawaci.csv
adaptive_only,29,tt_cimanggis.csv,49,tt_merak_toll_e.csv
adaptive_only,29,tt_cimanggis.csv,53,tt_pluit.csv
adaptive_only,30,tt_cipondoh.csv,43,tt_lebakbulus.csv
adaptive_only,30,tt_cipondoh.csv,58,tt_ragunan.csv
adaptive_only,31,tt_fatmawati.csv,36,tt_jatinegara.csv
adaptive_only,31,tt_fatmawati.csv,57,tt_purikembangan.csv
adaptive_only,31,tt_fatmawati.csv,60,tt_salemba.csv
adaptive_only,32,tt_gadingserpong.csv,54,tt_pondokindah.csv
adaptive_only,34,tt_gunungsahari.csv,52,tt_perintis.csv
adaptive_only,35,tt_hayamwuruk.csv,37,tt_jorr_west.csv
adaptive_only,35,tt_hayamwuruk.csv,48,tt_matraman.csv
adaptive_only,35,tt_hayamwuruk.csv,58,tt_ragunan.csv
adaptive_only,36,tt_jatinegara.csv,60,tt_salemba.csv
adaptive_only,37,tt_jorr_west.csv,38,tt_kapukmuara.csv
adaptive_only,37,tt_jorr_west.csv,43,tt_lebakbulus.csv
adaptive_only,38,tt_kapukmuara.csv,43,tt_lebakbulus.csv
adaptive_only,39,tt_karawaci.csv,47,tt_martadinata.csv
adaptive_only,39,tt_karawaci.csv,62,tt_tambun.csv
adaptive_only,40,tt_kedoya.csv,43,tt_lebakbulus.csv
adaptive_only,40,tt_kedoya.csv,56,tt_pramuka.csv
adaptive_only,40,tt_kedoya.csv,58,tt_ragunan.csv
adaptive_only,41,tt_kemang.csv,43,tt_lebakbulus.csv
adaptive_only,41,tt_kemang.csv,58,tt_ragunan.csv
adaptive_only,42,tt_kramatraya.csv,55,tt_pospengumben.csv
adaptive_only,42,tt_kramatraya.csv,57,tt_purikembangan.csv
adaptive_only,43,tt_lebakbulus.csv,56,tt_pramuka.csv
adaptive_only,44,tt_lentengagung.csv,51,tt_pemuda.csv
adaptive_only,44,tt_lentengagung.csv,53,tt_pluit.csv
adaptive_only,44,tt_lentengagung.csv,54,tt_pondokindah.csv
adaptive_only,45,tt_mampang.csv,46,tt_manggadua.csv
adaptive_only,46,tt_manggadua.csv,61,tt_supomo.csv
adaptive_only,47,tt_martadinata.csv,62,tt_tambun.csv
adaptive_only,48,tt_matraman.csv,56,tt_pramuka.csv
adaptive_only,48,tt_matraman.csv,58,tt_ragunan.csv
adaptive_only,49,tt_merak_toll_e.csv,62,tt_tambun.csv
adaptive_only,50,tt_otista.csv,57,tt_purikembangan.csv
adaptive_only,51,tt_pemuda.csv,53,tt_pluit.csv
adaptive_only,53,tt_pluit.csv,54,tt_pondokindah.csv
adaptive_only,54,tt_pondokindah.csv,61,tt_supomo.csv
adaptive_only,54,tt_pondokindah.csv,62,tt_tambun.csv
adaptive_only,55,tt_pospengumben.csv,60,tt_salemba.csv
adaptive_only,56,tt_pramuka.csv,58,tt_ragunan.csv
adaptive_only,57,tt_purikembangan.csv,60,tt_salemba.csv
adaptive_only,59,tt_rayabekasi_cakung.csv,61,tt_supomo.csv
adaptive_only,59,tt_rayabekasi_cakung.csv,62,tt_tambun.csv
adaptive_only,61,tt_supomo.csv,62,tt_tambun.csv
