horizon,node_index,corridor,fixed_mae,fixed_mae_std,fixed_rmse,fixed_rmse_std,fixed_points,adaptive_mae,adaptive_mae_std,adaptive_rmse,adaptive_rmse_std,adaptive_points,mae_improvement,mae_improvement_pct,rmse_improvement,rmse_improvement_pct,winner_mae,winner_rmse,category
3,5,tt_sudirman.csv,6.99338960647583,0.2950131178142986,8.333023040257313,0.25921822326495636,230,5.1226507186889645,0.29297673894965626,5.765239996627113,0.33017177950564613,230,1.8707388877868656,26.750102497572488,2.5677830436302003,30.81454390831626,Adaptive,Adaptive,Adaptive strongest
3,24,tt_cakungcilincing.csv,4.879615116119385,0.20634020039796183,5.757881517997991,0.18257606452050507,230,3.0448660850524902,0.12166224122935607,3.6100322809544814,0.2135445427207327,230,1.8347490310668944,37.600281731359516,2.14784923704351,37.3027689147434,Adaptive,Adaptive,Adaptive strongest
3,56,tt_pramuka.csv,4.693950366973877,0.07523100190493624,5.662189165580304,0.13720501432663662,230,2.9140466690063476,0.1348979366008044,3.5651573119879574,0.15678900812701213,230,1.7799036979675296,37.91909924081724,2.0970318535923465,37.03570813811599,Adaptive,Adaptive,Adaptive strongest
3,11,tt_kebonjeruk.csv,4.086059188842773,0.1331630735498093,5.479269725588725,0.10159378096273985,230,2.584401035308838,0.35446440485054015,3.1743754289930854,0.4189463518460786,230,1.5016581535339353,36.750768506591925,2.304894296595639,42.06572065309284,Adaptive,Adaptive,Adaptive strongest
3,43,tt_lebakbulus.csv,4.633108425140381,0.15972611830427008,5.98787058886634,0.13084955281804556,230,3.201866865158081,0.30040362300652823,4.184586608688562,0.3608305761742629,230,1.4312415599822996,30.891605130931804,1.8032839801777776,30.115613779809262,Adaptive,Adaptive,Adaptive strongest
3,7,tt_bekasi.csv,0.8692857980728149,0.12023511454023939,1.2410038618392991,0.11173134919794891,230,1.556353497505188,0.31049876558606065,1.8351271645999838,0.35005593743527424,230,-0.6870676994323731,-79.03818294921938,-0.5941233027606847,-47.87441208121069,Fixed,Fixed,Fixed strongest
3,26,tt_cibitung.csv,0.8769917607307434,0.042478210084627994,1.3102485399792132,0.03200161967906596,230,1.441692590713501,0.17307061964133483,1.7532336415412757,0.13002921177744337,230,-0.5647008299827576,-64.39066537092972,-0.4429851015620625,-33.809242143409705,Fixed,Fixed,Fixed strongest
3,23,tt_sultanagung.csv,1.2875496387481689,0.07416288939184017,2.0270246234804987,0.016687751610446725,230,1.5796519279479981,0.10273332522944117,2.098174965089705,0.04142248790489575,230,-0.2921022891998293,-22.68668177203857,-0.07115034160920608,-3.5100876814726365,Fixed,Fixed,Fixed strongest
3,15,tt_kalimalang.csv,0.8760400533676147,0.053217877675832664,1.5524751192868464,0.04230893051789171,230,1.1156776666641235,0.08620576174379062,1.6520047014504187,0.06654528185503103,230,-0.2396376132965088,-27.354641191953483,-0.09952958216357222,-6.41102591127468,Fixed,Fixed,Fixed strongest
3,42,tt_kramatraya.csv,1.9420110940933228,0.11945476285027716,2.7230205456960976,0.028007016847839652,230,2.1693145275115966,0.10718392271997634,2.7988956327518695,0.04353587860564116,230,-0.22730343341827375,-11.704538357665568,-0.07587508705577184,-2.7864309424949845,Fixed,Fixed,Fixed strongest
6,5,tt_sudirman.csv,8.59250545501709,0.36925263595635216,9.436036183139962,0.34782324918950003,235,5.128622722625733,0.5049017271331947,5.892055690239628,0.6226872285116108,235,3.4638827323913572,40.312837164029105,3.5439804929003333,37.55793666023256,Adaptive,Adaptive,Adaptive strongest
