file,rows,start,end,speed_null,speed_min,speed_max,speed_mean,speed_std,speed_unique,speed_zero,speed_negative,ff_null,ff_min,ff_max,ff_mean,ff_negative,speed_above_ff,speed_above_ff_pct,congestion_null,congestion_min,congestion_max,congestion_mean,congestion_negative,congestion_above_1,confidence_null,confidence_min,confidence_max,confidence_mean,confidence_below_0,confidence_above_1,road_closure_count,flag_near_constant_speed,flag_extreme_speed,flag_confidence,flag_congestion,num_flags
tt_gadingserpong.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,14.0,36.0,33.802564102564105,4.578871066815812,17,0,0,0,34.0,37.0,35.85128205128205,0,0,0.0,0,0.0,0.5882352941176471,0.05797536709301414,0,0,0,0.656397,1.0,0.9950556871794872,0,0,0,False,False,False,False,0
tt_gajahmada.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,12.0,21.0,18.743589743589745,2.8647126104121563,9,0,0,0,18.0,22.0,20.98205128205128,0,0,0.0,0,0.0,0.4545454545454546,0.1065133015133015,0,0,0,0.739265,1.0,0.976911582051282,0,0,0,False,False,False,False,0
tt_gunungsahari.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,15.0,25.0,22.56153846153846,3.0940788783094573,10,0,0,0,23.0,25.0,24.76923076923077,0,0,0.0,0,0.0,0.4,0.09033277591973242,0,0,0,1.0,1.0,1.0,0,0,0,False,False,False,False,0
tt_hayamwuruk.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,12.0,24.0,19.96153846153846,4.017450072130886,12,0,0,0,23.0,25.0,23.98974358974359,0,0,0.0,0,0.0,0.5,0.16781772575250836,0,0,0,0.917731,1.0,0.9922750307692308,0,0,0,False,False,False,False,0
tt_jatinegara.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,21.0,35.0,31.753846153846155,4.003972715741728,14,0,0,0,34.0,36.0,34.81025641025641,0,0,0.0,0,0.0,0.4,0.08749766573295982,0,0,0,0.980544,1.0,0.9985310205128205,0,0,0,False,False,False,False,0
tt_jorr_west.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,17.0,30.0,25.307692307692307,4.336453043105202,10,0,0,0,28.0,30.0,29.525641025641026,0,0,0.0,0,0.0,0.4333333333333333,0.14463790998273754,0,0,0,0.984261,1.0,0.9978720846153847,0,0,0,False,False,False,False,0
tt_kapukmuara.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,12.0,33.0,29.566666666666666,4.738337507054836,17,0,0,0,32.0,34.0,32.91794871794872,0,0,0.0,0,0.0,0.6363636363636364,0.10207747726130077,0,0,0,0.998612,1.0,0.9999914769230769,0,0,0,False,False,False,False,0
tt_karawaci.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,20.0,31.0,29.84102564102564,2.7417291326593483,10,0,0,0,30.0,31.0,30.912820512820513,0,0,0.0,0,0.0,0.3548387096774194,0.035164047422111926,0,0,0,0.987796,1.0,0.9997328128205129,0,0,0,False,False,False,False,0
tt_kedoya.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,14.0,29.0,23.433333333333334,4.599029367435744,13,0,0,0,27.0,29.0,28.635897435897437,0,0,0.0,0,0.0,0.5,0.18285908429586592,0,0,0,0.935814,1.0,0.9919943897435898,0,0,0,False,False,False,False,0
tt_kemang.csv,390,2026-08-12 04:00:00+00:00,2026-09-11 12:00:00+00:00,0,16.0,28.0,23.325641025641026,4.303894210141728,10,0,0,0,27.0,29.0,27.94871794871795,0,0,0.0,0,0.0,0.4482758620689655,0.16551653965447066,0,0,0,0.998236,1.0,0.9999902743589745,0,0,0,False,False,False,False,0
