source_index,target_index,source,target,distance_km
36,48,tt_jatinegara.csv,tt_matraman.csv,2.4746949734747403
36,50,tt_jatinegara.csv,tt_otista.csv,2.4834724160765895
36,56,tt_jatinegara.csv,tt_pramuka.csv,2.834292947498007
37,55,tt_jorr_west.csv,tt_pospengumben.csv,4.025467250433753
37,57,tt_jorr_west.csv,tt_purikembangan.csv,5.108466783357566
38,53,tt_kapukmuara.csv,tt_pluit.csv,3.730638085845098
39,49,tt_karawaci.csv,tt_merak_toll_e.csv,3.1357985968008113
40,55,tt_kedoya.csv,tt_pospengumben.csv,4.331882086190498
40,57,tt_kedoya.csv,tt_purikembangan.csv,2.9789286206586545
41,45,tt_kemang.csv,tt_mampang.csv,1.9609291256259331
41,54,tt_kemang.csv,tt_pondokindah.csv,4.462219354359048
41,63,tt_kemang.csv,tt_tendean.csv,2.7453560418165908
42,56,tt_kramatraya.csv,tt_pramuka.csv,2.38319728168112
42,60,tt_kramatraya.csv,tt_salemba.csv,0.6456016180585495
43,54,tt_lebakbulus.csv,tt_pondokindah.csv,2.8342744154539883
43,58,tt_lebakbulus.csv,tt_ragunan.csv,3.497191411394488
44,58,tt_lentengagung.csv,tt_ragunan.csv,2.769136030763953
45,61,tt_mampang.csv,tt_supomo.csv,2.2357249288133683
45,63,tt_mampang.csv,tt_tendean.csv,0.8003780638813315
46,47,tt_manggadua.csv,tt_martadinata.csv,7.444012441765827
48,50,tt_matraman.csv,tt_otista.csv,1.5678993015102707
48,61,tt_matraman.csv,tt_supomo.csv,2.2348629400063813
50,61,tt_otista.csv,tt_supomo.csv,1.7308568740312615
51,52,tt_pemuda.csv,tt_perintis.csv,2.871221229517962
51,56,tt_pemuda.csv,tt_pramuka.csv,1.9965269863994046
51,59,tt_pemuda.csv,tt_rayabekasi_cakung.csv,7.240583990072623
51,60,tt_pemuda.csv,tt_salemba.csv,3.362730191919732
52,56,tt_perintis.csv,tt_pramuka.csv,4.434449091207701
52,59,tt_perintis.csv,tt_rayabekasi_cakung.csv,4.726066327687121
54,58,tt_pondokindah.csv,tt_ragunan.csv,4.212675549735781
55,57,tt_pospengumben.csv,tt_purikembangan.csv,2.223901604670608
56,60,tt_pramuka.csv,tt_salemba.csv,1.748933407430415
61,63,tt_supomo.csv,tt_tendean.csv,1.7997540210935794
